Year,Country,GDP_Grwth,Curr_Hlth_Exp,Ext_Hlth_Exp,Life_Exp_At_Brth
2006,USA,2.854972298,14.70215797,0,77.68780488
2006,TUR,6.947988086,5.14591694,0,72.83
2006,RUS,8.200068255,4.76170969,0.28210351,66.72756098
2006,ZAF,5.603797657,6.58706188,5.71326399,53.795
2006,ARG,8.0471515,7.64032841,1.48688948,74.62
2006,BRA,3.961988722,8.25891399,0.51535082,72.26
2006,MEX,4.495077894,5.65525532,0,75.296
2006,DEU,3.816441913,10.17961693,0,79.13170732
2006,FRA,2.449323601,10.39308834,0,80.81219512
2006,ITA,1.790639681,8.43673038,0,81.28292683
2006,GBR,2.788324566,8.69737816,0.31351596,79.24878049
2006,JPN,1.420006556,7.80784273,0,82.32195122
2006,CHN,12.72095567,3.91870999,0.11772338,73.271
2006,IDN,5.500951785,2.67202187,0.61580646,67.717
2006,KOR,5.264326595,4.94396782,0,78.66829268
2007,IND,7.660815065,3.51754212,0.54245311,65.35
2007,AUS,3.844230316,8.06755352,0,81.29268293
2007,CAN,6.868608857,9.43898201,0,80.54390244
2007,SAU,1.847130255,3.56229401,0,73.467
2007,USA,1.876171455,14.91858959,0,77.98780488
2007,TUR,5.043507925,5.23760796,0,73.235
2007,RUS,8.499977768,4.74311066,0.30014637,67.58682927
2007,ZAF,5.360475891,6.4313159,6.97824764,54.452
2007,ARG,9.007650875,7.83455086,1.31238163,74.787
2007,BRA,6.069870608,8.20776176,0.49244082,72.618
2007,MEX,2.291445714,5.76644516,0,75.255
2007,DEU,2.976455131,10.05104923,0,79.53414634
2007,FRA,2.424736243,10.33102131,0,81.11219512
2007,ITA,1.48707298,8.13610077,0,81.43414634
2007,GBR,2.430553201,8.87322426,0.34237209,79.44878049
2007,JPN,1.654183881,7.89046049,0,82.50707317
2007,CHN,14.23086093,3.65868473,0.17543358,73.553
2007,IDN,6.345022227,2.87617064,0.9460727,68.105
2007,KOR,5.799548415,5.11490726,0,79.1195122
2008,IND,3.08669806,3.51468062,0.70863593,65.794
2008,AUS,3.657953526,8.25585651,0,81.39512195
2008,CAN,1.007622695,9.59853268,0,80.69512195
2008,SAU,6.249772752,2.97100711,0,73.598
2008,USA,-0.136579804,15.28626251,0,78.03902439
2008,TUR,0.815024571,5.21761799,0,73.649
2008,RUS,5.199969265,4.89866781,0.30897599,67.94926829
2008,ZAF,3.191046741,6.54576063,8.99932003,55.36
2008,ARG,4.057233103,8.1826973,6.91030741,74.952
2008,BRA,5.094195447,8.01598835,0.378782,72.966
2008,MEX,1.143584587,5.69886971,0,75.194
2008,DEU,0.959879134,10.2510128,0,79.73658537
2008,FRA,0.25494596,10.51212215,0,81.21463415
2008,ITA,-0.962012841,8.53282356,0,81.48536585
2008,GBR,-0.281153556,9.16623402,0.33707696,79.6
2008,JPN,-1.0935406,8.19951439,0,82.58756098
2008,CHN,9.650678919,3.87722778,0.20530021,73.835
2008,IDN,6.0137036,2.61300087,0.70753467,68.485
2008,KOR,3.012984873,5.39896727,0,79.51707317
2009,IND,7.861888833,3.48537874,0.39011872,66.244
2009,AUS,1.93699392,8.56316471,0,81.54390244
2009,CAN,-2.928400167,10.70911217,0,80.99512195
2009,SAU,-2.059249189,4.29042768,0,73.75
2009,USA,-2.53675707,16.28372383,0,78.3902439
2009,TUR,-4.823153949,5.49438715,0,74.074
2009,RUS,-7.799993913,5.63820267,0,68.68463415
2009,ZAF,-1.538089334,7.11458683,11.75896168,56.46
2009,ARG,-5.918525076,9.45599556,2.26170921,75.116
2009,BRA,-0.125811999,8.40254688,1.07604921,73.3
2009,MEX,-5.285744137,6.12978458,0,75.128
2009,DEU,-5.693836336,11.23758507,0,79.83658537
2009,FRA,-2.873313828,11.29670525,0,81.41463415
2009,ITA,-5.280937208,8.95162296,0,81.63658537
2009,GBR,-4.247821763,10.01600361,0.28771687,80.05121951
2009,JPN,-5.416412797,9.0582962,0,82.93146341
2009,CHN,9.398725633,4.32182407,0.17165272,74.119
2009,IDN,4.628871183,2.68494344,1.02434385,68.853
2009,KOR,0.79269899,5.78228998,0,79.96829268
2010,IND,8.497584702,3.27211905,0.43798834,66.693
2010,AUS,2.067417128,8.4308424,0,81.69512195
2010,CAN,3.08949462,10.6837883,0,81.24634146
2010,SAU,5.03948403,3.64786124,0,73.917
2010,USA,2.563766563,16.34537888,0,78.54146341
2010,TUR,8.427104323,5.02053452,0,74.507
2010,RUS,4.5,4.9660778,0,68.84121951
2010,ZAF,3.039730814,7.41535425,16.26216125,57.669
2010,ARG,10.12539816,9.44546413,3.11258078,75.278
2010,BRA,7.52822583,7.94913244,2.20535636,73.619
2010,MEX,5.118118143,5.97513008,0,75.065
2010,DEU,4.179882499,11.0968647,0,79.98780488
2010,FRA,1.949437623,11.24011326,0,81.66341463
2010,ITA,1.713295839,8.91602039,0,82.03658537
2010,GBR,1.949521464,9.98915195,0.30934411,80.40243902
2010,JPN,4.191739259,9.15677357,0,82.84268293
2010,CHN,10.63587106,4.2079916,0.22703408,74.409
2010,IDN,6.223854181,2.96089983,1.20368528,69.205
2010,KOR,6.804824918,5.91734409,0,80.11707317
2011,IND,5.241344743,3.24634194,0.42274988,67.13
2011,AUS,2.462756312,8.54153824,0,81.89512195
2011,CAN,3.146881372,10.33907032,0,81.44878049
2011,SAU,9.996846552,3.71178317,0,74.089
2011,USA,1.550835504,16.29982948,0,78.64146341
2011,TUR,11.20011058,4.6530509,0,74.944
2011,RUS,4.300029186,4.79005241,0,69.68390244
2011,ZAF,3.284168142,7.49731731,14.78935528,58.895
2011,ARG,6.003951693,9.41819859,7.01188707,75.439
2011,BRA,3.974425406,7.78833342,3.49789882,73.921
2011,MEX,3.66300793,5.70114136,0,75.011
2011,DEU,3.925192705,10.77629662,0,80.43658537
2011,FRA,2.192700633,11.20183182,0,82.11463415
2011,ITA,0.707333347,8.77413177,0,82.18780488
2011,GBR,1.540147403,9.97346497,0.35839504,80.95121951
2011,JPN,-0.11542134,10.61671734,0,82.59121951
2011,CHN,9.550832179,4.32551336,0.17847344,74.708
2011,IDN,6.169784208,2.95542026,1.04343927,69.542
2011,KOR,3.685667782,6.00844383,0,80.56829268
2012,IND,5.456358951,3.32935309,0.46134391,67.545
2012,AUS,3.918162871,8.67564774,0,82.04634146
2012,CAN,1.762222549,10.42859364,0,81.64878049
2012,SAU,5.411444902,4.01962948,0,74.254
2012,USA,2.249545851,16.28528976,0,78.74146341
2012,TUR,4.788492709,4.44444656,0,75.373
2012,RUS,4.024086157,4.94080353,0,70.07219512
2012,ZAF,2.213354808,7.7525506,11.80989838,60.06
2012,ARG,-1.026420454,9.82726669,7.1293602,75.598
2012,BRA,1.921150318,7.73536205,1.19215,74.209
2012,MEX,3.642322679,5.84224558,0,74.966
2012,DEU,0.418497594,10.84700775,0,80.53902439
2012,FRA,0.313134751,11.31324291,0,81.96829268
2012,ITA,-2.980905768,8.78352833,0,82.23902439
2012,GBR,1.478923924,10.0517683,0.38331211,80.90487805
2012,JPN,1.495089586,10.79065323,0,83.09609756
2012,CHN,7.863736449,4.5493989,0.158539,75.013
2012,IDN,6.030050653,2.9028666,1.03459513,69.866
2012,KOR,2.402530992,6.13262033,0,80.8195122
2013,IND,6.386106401,3.74944162,0.15159398,67.931
2013,AUS,2.584897702,8.76116371,0,82.14878049
2013,CAN,2.329122506,10.34045982,0,81.74878049
2013,SAU,2.699254721,4.46568823,0,74.402
2013,USA,1.84208107,16.21042252,0,78.74146341
2013,TUR,8.485817002,4.37099981,0,75.784
2013,RUS,1.755422149,5.07980919,0,70.57878049
2013,ZAF,2.4852005,7.72096157,10.37658596,61.099
2013,ARG,2.405323781,9.78097916,6.33962297,75.756
2013,BRA,3.004846305,7.97721243,0.66662484,74.483
2013,MEX,1.354091962,5.9407773,0,74.93
2013,DEU,0.437591303,10.99187183,0,80.4902439
2013,FRA,0.576326675,11.43607998,0,82.2195122
2013,ITA,-1.841065451,8.77543831,0,82.6902439
2013,GBR,2.139485718,9.97855186,0.42376742,81.00487805
2013,JPN,2.000267841,10.79159355,0,83.33195122
2013,CHN,7.766150098,4.71002245,0.18078081,75.321
2013,IDN,5.557263689,2.96065068,1.18961024,70.179
